Year,Rank,Film,Global,Domestic,Domestic %,International %,International %,RT Score,Audience Score,2023_Global_Box_Office,2023_Domestic_Box_Office
2013,1,Frozen,"$1,280,802,282","$400,738,009",31.30%,"$880,064,273",68.70%,90,85,"$1,665,042,967","$520,959,412"
2013,2,Iron Man 3,"$1,214,811,252","$409,013,994",33.70%,"$805,797,258",66.30%,79,78,"$1,579,254,628","$531,718,192"
2013,3,Despicable Me 2,"$970,766,005","$368,065,385",37.90%,"$602,700,620",62.10%,75,85,"$1,261,995,807","$478,485,001"
2013,4,The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",27%,"$700,000,000",73%,74,85,"$1,245,876,912","$335,876,912"
2013,5,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.10%,"$440,343,699",50.90%,90,89,"$1,124,515,270","$552,068,461"
2013,6,Fast & Furious 6,"$788,679,850","$238,679,850",30.30%,"$550,000,000",69.70%,71,84,"$1,025,283,805","$310,283,805"
2013,7,Monsters University,"$743,559,607","$268,492,764",36.10%,"$475,066,843",63.90%,80,81,"$966,627,489","$349,040,593"
2013,8,Gravity,"$723,192,705","$274,092,705",37.90%,"$449,100,000",62.10%,96,79,"$940,150,517","$356,320,517"
2013,9,Man of Steel,"$668,045,518","$291,045,518",43.60%,"$377,000,000",56.40%,56,75,"$868,459,173","$378,359,173"
2013,10,Thor: The Dark World,"$644,783,140","$206,362,140",32%,"$438,421,000",68%,66,75,"$838,218,082","$268,270,782"
2013,11,The Croods,"$587,204,668","$187,168,425",31.90%,"$400,036,243",68.10%,71,77,"$763,366,068","$243,318,953"
2013,12,World War Z,"$540,007,876","$202,359,711",37.50%,"$337,648,165",62.50%,66,72,"$702,010,239","$263,067,624"
2013,13,Oz the Great and Powerful,"$493,311,825","$234,911,825",47.60%,"$258,400,000",52.40%,56,56,"$641,305,373","$305,385,373"
2013,14,Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%,84,89,"$607,574,820","$297,412,259"
2013,15,The Wolverine,"$414,828,246","$132,556,852",32%,"$282,271,394",68%,71,69,"$539,276,720","$172,323,908"
