Year,Year_Rank,Film,Global_Box_Office,Domestic_Box_Office,Percent_Domestic,Siskel,Ebert,2023_Global_Box_Office,2023_Domestic_Box_Office
1989,1,Batman,"$251,188,924","$251,188,924",100%,1,0,"$620,436,642","$620,436,642"
1989,2,Indiana Jones and the Last Crusade,"$197,171,806","$197,171,806",100%,0,1,"$487,014,361","$487,014,361"
1989,3,Dead Poets Society,"$174,997,852","$95,860,116",54.80%,1,0,"$432,244,694","$236,774,487"
1989,4,Lethal Weapon 2,"$147,253,986","$147,253,986",100%,0,1,"$363,717,345","$363,717,345"
1989,5,Look Who's Talking,"$140,088,813","$140,088,813",100%,1,1,"$346,019,368","$346,019,368"
1989,6,"Honey, I Shrunk the Kids","$130,724,172","$130,724,172",100%,0,0,"$322,888,705","$322,888,705"
1989,7,Back to the Future Part II,"$118,549,330","$118,450,002",99.90%,0,1,"$292,816,845","$292,571,505"
1989,8,Ghostbusters II,"$112,494,738","$112,494,738",100%,0,0,"$277,862,003","$277,862,003"
1989,9,Driving Miss Daisy,"$106,593,296","$106,593,296",100%,1,1,"$263,285,441","$263,285,441"
1989,10,Parenthood,"$100,047,830","$100,047,830",100%,1,1,"$247,118,140","$247,118,140"
1989,11,When Harry Met Sally...,"$92,823,546","$92,823,546",100%,1,1,"$229,274,159","$229,274,159"
1989,12,The War of the Roses,"$86,888,546","$86,888,546",100%,1,1,"$214,614,709","$214,614,709"
1989,13,The Little Mermaid,"$84,355,863","$84,355,863",100%,1,1,"$208,358,982","$208,358,982"
1989,14,Steel Magnolias,"$83,759,091","$83,759,091",100%,0,1,"$206,884,955","$206,884,955"
1989,15,National Lampoon's Christmas Vacation,"$71,319,526","$71,319,526",100%,0,0,"$176,159,229","$176,159,229"
1989,16,Turner & Hooch,"$71,079,915","$71,079,915",100%,,,"$175,567,390","$175,567,390"
1989,17,Born on the Fourth of July,"$70,001,698","$70,001,698",100%,1,1,"$172,904,194","$172,904,194"
1989,18,Uncle Buck,"$66,758,538","$66,758,538",100%,0,0,"$164,893,589","$164,893,589"
1989,19,Field of Dreams,"$64,431,625","$64,431,625",100%,0,1,"$159,146,114","$159,146,114"
1989,20,Tango & Cash,"$63,408,614","$63,408,614",100%,0,0,"$156,619,277","$156,619,277"
1989,21,Harlem Nights,"$60,864,870","$60,864,870",100%,0,0,"$150,336,229","$150,336,229"
1989,22,Sea of Love,"$58,571,513","$58,571,513",100%,1,1,"$144,671,637","$144,671,637"
1989,23,Pet Sematary,"$57,469,467","$57,469,467",100%,0,,"$141,949,583","$141,949,583"
1989,24,The Abyss,"$54,222,310","$54,222,310",100%,1,1,"$133,929,106","$133,929,106"
1989,25,Star Trek V: The Final Frontier,"$52,210,049","$52,210,049",100%,0,0,"$128,958,821","$128,958,821"
1989,26,Major League,"$49,797,148","$49,797,148",100%,,,"$122,998,956","$122,998,956"
1989,27,"See No Evil, Hear No Evil","$46,908,987","$46,908,987",100%,0,0,"$115,865,198","$115,865,198"
1989,28,Black Rain,"$46,212,055","$46,212,055",100%,0,0,"$114,143,776","$114,143,776"
1989,29,Always,"$43,858,790","$43,858,790",100%,0,0,"$108,331,211","$108,331,211"
1989,30,K-9,"$43,247,647","$43,247,647",100%,0,0,"$106,821,688","$106,821,688"
